Sinistra  Giù       Sinistra  Hai Vinto!Destra    
WON!    LEFT    LEFT    LEFT    WON!    
UP      RIGHT   LEFT    RIGHT   DOWN    
LEFT    UP      [WON!]	RIGHT   WON!    
RIGHT   RIGHT   RIGHT   UP      UP      
WON!    DOWN    UP      LEFT    LEFT    

LEFT    RIGHT   UP      DOWN    DOWN    
WON!    WON!    DOWN    DOWN    LEFT    
DOWN    WON!    [WON!]	WON!    DOWN    
WON!    DOWN    DOWN    WON!    DOWN    
DOWN    UP      UP      UP      RIGHT   

UP      RIGHT   DOWN    RIGHT   LEFT    
UP      WON!    UP      LEFT    RIGHT   
DOWN    RIGHT   [UP]	UP      UP      
DOWN    LEFT    LEFT    DOWN    UP      
LEFT    DOWN    LEFT    LEFT    RIGHT   

WON!    LEFT    UP      LEFT    DOWN    
RIGHT   UP      RIGHT   WON!    DOWN    
LEFT    RIGHT   [WON!]	DOWN    WON!    
DOWN    RIGHT   UP      LEFT    UP      
RIGHT   UP      RIGHT   RIGHT   DOWN    

DOWN    RIGHT   UP      WON!    RIGHT   
WON!    WON!    DOWN    UP      RIGHT   
RIGHT   LEFT    [WON!]	RIGHT   UP      
UP      DOWN    DOWN    DOWN    RIGHT   
UP      WON!    LEFT    WON!    LEFT    

WON!    UP      LEFT    UP      WON!    
WON!    LEFT    DOWN    RIGHT   LEFT    
LEFT    WON!    [RIGHT]	UP      DOWN    
LEFT    DOWN    LEFT    RIGHT   RIGHT   
LEFT    WON!    UP      LEFT    DOWN    

RIGHT   RIGHT   LEFT    UP      DOWN    
RIGHT   DOWN    LEFT    DOWN    RIGHT   
WON!    UP      WON!    RIGHT   [RIGHT]
UP      DOWN    LEFT    DOWN    UP      
UP      DOWN    RIGHT   DOWN    UP      

UP      UP      LEFT    UP      LEFT    
RIGHT   UP      DOWN    DOWN    DOWN    
DOWN    WON!    UP      DOWN    [DOWN]
RIGHT   DOWN    LEFT    UP      DOWN    
DOWN    WON!    DOWN    LEFT    RIGHT   

DOWN    LEFT    WON!    RIGHT   RIGHT   
WON!    RIGHT   RIGHT   LEFT    DOWN    
DOWN    DOWN    LEFT    DOWN    [WON!]
LEFT    DOWN    UP      LEFT    DOWN    
RIGHT   RIGHT   WON!    UP      LEFT    

RIGHT   WON!    DOWN    DOWN    WON!    
RIGHT   LEFT    LEFT    DOWN    DOWN    
LEFT    RIGHT   [DOWN]	RIGHT   UP      
WON!    LEFT    RIGHT   LEFT    LEFT    
UP      UP      RIGHT   DOWN    LEFT    

WON!    LEFT    LEFT    RIGHT   WON!    
UP      WON!    UP      LEFT    LEFT    
UP      DOWN    UP      RIGHT   LEFT    
RIGHT   UP      LEFT    DOWN    RIGHT   
RIGHT   RIGHT   DOWN    RIGHT   WON!    

WON!    LEFT    DOWN    WON!    LEFT    
RIGHT   UP      LEFT    UP      UP      
LEFT    LEFT    [UP]	UP      LEFT    
LEFT    RIGHT   UP      WON!    DOWN    
DOWN    WON!    WON!    WON!    UP      

